"","nmz","ndz","a","c","e","g","b","x","PGS","A","p1","p2","p3","p4","p5","p6","p7","p8","p9","Smz","Sdz"
"122",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.02,0,0.15,0.85,0.232,0.329,0.375,0.144,0.077,0.434,0.431,0.289,0.105,0.0810946638440408,0.0684455532033674
"123",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.04,0,0.15,0.85,0.309,0.474,0.635,0.154,0.163,0.507,0.733,0.286,0.273,0.109192885125388,0.083894663844041
"124",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.06,0,0.15,0.85,0.395,0.568,0.862,0.147,0.309,0.586,0.937,0.285,0.539,0.138091106406735,0.100143774484715
"125",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.08,0,0.15,0.85,0.484,0.671,0.956,0.144,0.478,0.641,0.989,0.275,0.769,0.167789327688082,0.117192885125388
"126",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.04,0.1,0,0.15,0.85,0.573,0.752,0.992,0.137,0.647,0.688,0.999,0.264,0.924,0.198287548969429,0.135041995766061
"127",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0,0,0.15,0.85,0.309,0.461,0.276,0.277,0.05,0.664,0.282,0.554,0.05,0.0830946638440411,0.0830946638440411
"128",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.02,0,0.15,0.85,0.395,0.573,0.546,0.272,0.077,0.739,0.611,0.561,0.105,0.111192885125388,0.0985437744847144
"129",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.04,0,0.15,0.85,0.485,0.675,0.801,0.261,0.158,0.785,0.873,0.545,0.276,0.140091106406735,0.114792885125388
"130",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.06,0,0.15,0.85,0.575,0.762,0.937,0.26,0.301,0.826,0.975,0.529,0.527,0.169789327688082,0.131841995766062
"131",4000,4000,0.632455532033676,0.547722557505166,0.547722557505166,0.06,0.08,0,0.15,0.85,0.659,0.823,0.987,0.251,0.484,0.856,0.998,0.515,0.785,0.200287548969429,0.149691106406735
